# Star catalog based on Yale Bright Star Catalog v5 (http://tdc-www.harvard.edu/catalogs/bsc5.html)
# ;SAO;_RAJ2000;_DEJ2000;Vmag
5036;139337;201.54749999999999;-1.1925000000000001;5.97
5037;224148;201.73375;-41.49805555555556;5.69
5038;224149;201.77624999999995;-49.14388888888889;6.31
5039;28751;201.30624999999998;54.988055555555555;4.01
5040;224151;201.83666666666664;-49.380833333333335;6.28
5041;157938;201.67999999999998;-12.707777777777777;5.25
5042;204483;201.81124999999997;-40.16305555555555;6.40
5043;252321;202.1933333333333;-69.62805555555555;6.20
5044;44611;201.56916666666663;46.028055555555554;5.88
5045;157946;201.8633333333333;-15.973611111111111;4.76
5046;252329;202.28166666666664;-64.67583333333334;6.11
5047;16071;201.49958333333328;63.26111111111111;6.50
5048;240883;202.35499999999996;-51.165277777777774;5.06
5049;100582;202.1075;13.77888888888889;4.98
5050;7814;201.53374999999997;72.3913888888889;5.79
5051;16078;201.76916666666665;64.73555555555555;6.66
5052;16079;201.7945833333333;64.71944444444445;7.04
5053;28763;201.99791666666664;52.74583333333334;6.34
5054;44621;202.10916666666665;40.72972222222222;6.47
5055;139359;202.3120833333333;-1.3644444444444446;6.43
5056;28766;202.04874999999998;50.58722222222222;6.80
5057;181695;202.42833333333328;-23.281388888888888;4.97
5058;100592;202.30416666666662;10.818333333333333;5.65
5059;257060;203.31166666666667;-77.56833333333333;6.48
5060;28771;202.19041666666664;50.718333333333334;6.43
5061;258674;205.23124999999996;-85.78611111111111;5.58
5062;16080;202.11291666666665;59.94583333333333;5.40
5063;119962;202.50041666666664;7.178888888888889;6.17
5064;119961;202.48999999999995;6.013333333333334;6.51
5065;139370;202.60708333333332;-6.470277777777778;6.09
5066;204545;202.76125;-39.4075;3.88
5067;181723;202.88875;-28.11277777777778;6.47
5068;7821;201.73624999999998;78.6438888888889;5.77
5069;204561;203.0220833333333;-38.399166666666666;6.16
5070;252361;203.39875;-65.6325;6.37
5071;157987;203.01166666666663;-18.728888888888886;6.01
5072;139390;202.99124999999998;-6.255833333333333;4.69
5073;44637;202.8158333333333;42.10611111111111;6.08
5074;181737;203.1495833333333;-28.692777777777778;5.69
5075;181735;203.14374999999998;-29.56527777777778;6.45
5076;157998;203.21541666666664;-15.363055555555555;5.55
5077;139401;203.2420833333333;-10.165000000000001;5.21
5079;82875;203.20041666666665;24.34638888888889;6.11
5080;224254;203.62041666666664;-48.27222222222222;6.33
5081;204612;203.68166666666664;-33.31083333333333;6.44
5082;120004;203.53291666666664;3.658888888888889;4.94
5083;158021;203.66875;-13.214444444444444;5.91
5084;139420;203.6733333333333;0.5958333333333333;3.37
5085;63616;203.5908333333333;38.78916666666667;6.37
5086;28803;203.53041666666664;55.34861111111111;5.60
5087;63623;203.69916666666666;37.1825;4.98
5088;139428;203.88041666666663;-5.396111111111112;5.73
5089;44668;203.61374999999995;49.01611111111111;4.70
5090;252387;204.30083333333332;-61.69194444444444;5.63
5091;100630;203.88875;10.204722222222221;6.49
5092;257069;204.79958333333332;-75.68388888888889;6.34
5093;44675;203.80875;44.19694444444444;6.84
5094;204653;204.21041666666665;-34.467777777777776;6.50
5095;224275;204.27499999999998;-44.14333333333333;5.98
5096;257070;204.69041666666664;-70.44500000000001;6.10
5097;181790;204.20166666666663;-26.495;5.78
5098;224283;204.34875;-46.42833333333333;5.90
5099;241013;204.53166666666664;-58.415;6.42
5100;82905;204.24624999999997;24.613333333333333;5.74
5101;241026;204.7045833333333;-57.62305555555555;6.01
5102;257074;205.00249999999997;-70.78833333333333;6.59
5103;44682;204.16583333333332;49.486666666666665;6.49
5104;63648;204.36499999999998;36.294999999999995;4.82
5105;181825;204.67499999999998;-29.560833333333335;5.83
5106;100644;204.53291666666664;14.301666666666668;6.52
5107;252400;205.04541666666663;-64.57694444444444;5.79
5108;7848;203.6783333333333;76.54666666666667;6.57
5109;241047;204.97166666666666;-53.46638888888889;2.30
5110;28819;204.42916666666665;50.71472222222223;6.48
5111;224317;204.99874999999997;-49.95027777777778;6.00
5112;204708;204.92;-39.74805555555556;6.27
5113;204712;204.9525;-40.051944444444445;5.60
5114;100650;204.7595833333333;18.26527777777778;6.48
5115;100654;204.89416666666665;10.74611111111111;5.57
5116;7854;204.29583333333332;71.24222222222222;5.50
5117;241080;205.5045833333333;-58.78722222222222;5.38
5118;241076;205.43624999999997;-54.559999999999995;5.01
5119;28832;204.87666666666667;52.921388888888885;5.46
5120;63676;205.06499999999997;31.011944444444445;6.21
5121;82942;205.16874999999996;19.955555555555556;5.75
5122;82944;205.16291666666663;28.06527777777778;6.23
5123;181863;205.37875;-23.449722222222224;6.59
5124;204739;205.44041666666664;-33.596944444444446;6.05
5125;28836;205.09666666666664;50.519444444444446;6.32
5126;82946;205.2595833333333;22.495833333333334;5.62
5127;139490;205.4033333333333;-8.703055555555554;5.01
5128;241096;205.73374999999996;-56.768055555555556;6.00
5129;241098;205.72749999999996;-50.79055555555556;6.41
5130;28838;205.08874999999995;57.2075;6.29
5131;28843;205.18458333333328;54.681666666666665;4.66
5132;224359;205.72916666666663;-41.401111111111106;5.98
5133;120075;205.55291666666665;8.388333333333334;6.16
5134;224365;205.91666666666666;-42.0675;5.98
5135;241120;206.06624999999994;-51.01305555555555;6.47
5136;120082;205.76541666666662;3.5380555555555553;5.36
5137;44720;205.61999999999995;41.674166666666665;6.30
5138;63701;205.6808333333333;34.98888888888889;5.98
5139;16142;205.3745833333333;64.82249999999999;5.85
5140;139516;205.97624999999996;-5.498888888888889;6.51
5141;82969;205.93833333333333;22.700277777777778;6.13
5142;158131;206.12416666666664;-16.179166666666667;5.60
5143;181921;206.1904166666666;-25.500833333333333;6.21
5144;181931;206.40374999999997;-26.116111111111113;5.81
5145;204812;206.42166666666665;-33.04388888888889;4.23
5146;28866;205.97791666666666;52.06444444444444;6.02
5147;158147;206.39624999999998;-15.7675;6.19
5148;252448;206.79458333333332;-62.59;6.51
5149;241157;206.66375;-51.43277777777777;4.65
5150;158152;206.48458333333332;-12.426666666666666;5.51
5151;204835;206.73499999999999;-36.25194444444445;5.15
5152;241173;206.86499999999998;-50.24944444444444;5.91
5153;241177;206.91;-50.321111111111115;5.45
5154;28878;206.30499999999995;55.879444444444445;6.50
5155;139544;206.80624999999998;-9.709166666666667;6.05
5156;44742;206.55624999999998;41.08861111111111;5.87
